variant,phase,type,key,value
dem-sierra-S1-trace,return,counts,quality_visibility_exact_requests,0
dem-sierra-S1-trace,return,counts,shape_infeasible,18629
dem-sierra-S1-trace,return,counts,source_height_prepared,13592
dem-sierra-S1-trace,return,counts,flip_certified,3
dem-sierra-S1-trace,return,counts,flip_quality_infeasible,84
dem-sierra-S1-trace,return,counts,flip_pointwise_height_damage,3
dem-sierra-S1-trace,return,seconds,derived_publish,0.0025635000000000007
dem-sierra-S1-trace,return,seconds,donor_order,0.0005432000000000001
dem-sierra-S1-trace,return,seconds,face_fill,0.0008921000000000002
dem-sierra-S1-trace,return,seconds,mesh_fill,0.0010379999999999999
dem-sierra-S1-trace,return,seconds,mesh_prepare,0.0013752
dem-sierra-S1-trace,return,seconds,next_order,0.016221900000000004
dem-sierra-S1-trace,return,seconds,pointwise_batch,0.0283761
dem-sierra-S1-trace,return,seconds,prepare,0.0105578
dem-sierra-S1-trace,return,seconds,publish,0.0014374000000000001
dem-sierra-S1-trace,return,seconds,receiver_stage,3.2493541999999986
dem-sierra-S1-trace,return,seconds,reservation,0.004496700000000001
dem-sierra-S1-trace,return,seconds,sample_repair,0.18401079999999997
dem-sierra-S1-trace,return,seconds,task_wall_sum_flip_recovery,0.07351720000000002
dem-sierra-S1-trace,return,seconds,task_wall_sum_pointwise_quality,20.621858699999994
dem-sierra-S1-trace,return,seconds,task_wall_sum_proposal,0.824986
dem-sierra-S1-trace,return,seconds,task_wall_sum_receiver_certification,0.6366303000000001
dem-sierra-S1-trace,return,seconds,view_order,0.0163143
dem-sierra-S1-trace,return,seconds,view_projection,0.23373449999999996
dem-sierra-S1-trace,return,seconds,view_refresh,0.33660780000000007
dem-sierra-S1-trace,return,seconds,view_scores,0.0851841
dem-sierra-S1-trace,return,maxima,rationalBits,519.0
dem-sierra-S1-trace,static,counts,certified,25
dem-sierra-S1-trace,static,counts,flip_flip_nonconvex_or_existing_diagonal,258
dem-sierra-S1-trace,static,counts,flip_flip_not_interior,160
dem-sierra-S1-trace,static,counts,flip_quality_infeasible,64
dem-sierra-S1-trace,static,counts,pointwise_height_damage,14717
dem-sierra-S1-trace,static,counts,pointwise_progress_unknown,1
dem-sierra-S1-trace,static,counts,pointwise_receiver_certified,26
dem-sierra-S1-trace,static,counts,quality_clip_bounds_builds,1080881
dem-sierra-S1-trace,static,counts,quality_clip_exact_builds,213139
dem-sierra-S1-trace,static,counts,quality_contexts,1088577
dem-sierra-S1-trace,static,counts,quality_cover_exact_requests,1062982
dem-sierra-S1-trace,static,counts,quality_early_height_rejects,14717
dem-sierra-S1-trace,static,counts,quality_evidence_bytes,203600608
dem-sierra-S1-trace,static,counts,quality_exact_samples,213145
dem-sierra-S1-trace,static,counts,quality_face_bounds_builds,107168
dem-sierra-S1-trace,static,counts,quality_face_bounds_heights,2161762
dem-sierra-S1-trace,static,counts,quality_face_bounds_sides,17060155
dem-sierra-S1-trace,static,counts,quality_face_exact_builds,94518
dem-sierra-S1-trace,static,counts,quality_face_exact_heights,426290
dem-sierra-S1-trace,static,counts,quality_face_exact_sides,1062982
dem-sierra-S1-trace,static,counts,quality_face_records,125064
dem-sierra-S1-trace,static,counts,quality_filter_samples,1080881
