scene,variant,phase,metric,mean,median,p95,max
dem-sierra,P0,moving,meshPrepareMs,0.0347,0.0344,0.0471,0.061500000000000006
dem-sierra,P0,return,cpuMs,40.978440284729004,34.97094917297363,78.64649963378906,91.89820098876953
dem-sierra,P0,return,viewMs,10.055778125,10.1617,10.992099999999999,11.1156
dem-sierra,P0,return,receiverMs,29.533296875,23.7086,67.4212,81.2581
dem-sierra,P0,return,donorMs,0.0,0.0,0.0,0.0
dem-sierra,P0,return,reservationMs,0.01815,0.00965,0.0631,0.0989
dem-sierra,P0,return,sampleRepairMs,0.96723125,0.8046500000000001,2.5957,4.0444
dem-sierra,P0,return,topologyPrepareMs,0.067275,0.061649999999999996,0.18100000000000002,0.1986
dem-sierra,P0,return,topologyPublishMs,0.00950625,0.00815,0.0244,0.0318
dem-sierra,P0,return,meshPrepareMs,0.020790625,0.025400000000000002,0.0471,0.050899999999999994
dem-sierra,P0,static,cpuMs,0.8533437518635765,0.043050000444054604,0.07580000162124634,25.8617000579834
dem-sierra,P0,static,viewMs,0.34828749999999997,0.0,0.0,11.145199999999999
dem-sierra,P0,static,receiverMs,0.454390625,0.0,0.0,14.5405
dem-sierra,P0,static,donorMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,reservationMs,6.2499999999999995e-06,0.0,0.0,0.00019999999999999998
dem-sierra,P0,static,sampleRepairMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,topologyPrepareMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,topologyPublishMs,0.0,0.0,0.0,0.0
dem-sierra,P0,static,meshPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,S0,moving,cpuMs,107.09871068494073,112.58910369873047,125.29560089111328,126.84110260009766
dem-canyon,S0,moving,viewMs,15.530575862068966,15.8272,17.814799999999998,17.8932
dem-canyon,S0,moving,receiverMs,74.91073448275863,78.54759999999999,91.08800000000001,91.269
dem-canyon,S0,moving,donorMs,13.07403448275862,12.5007,16.6364,20.6051
dem-canyon,S0,moving,reservationMs,0.8178172413793103,0.6865,1.4153,1.6203999999999998
dem-canyon,S0,moving,sampleRepairMs,1.8184,1.5070000000000001,4.7194,6.6271
dem-canyon,S0,moving,topologyPrepareMs,0.1642103448275862,0.1519,0.3436,0.3599
dem-canyon,S0,moving,topologyPublishMs,0.029227586206896552,0.0268,0.06559999999999999,0.0871
dem-canyon,S0,moving,meshPrepareMs,0.02977241379310345,0.0293,0.046400000000000004,0.0599
dem-canyon,S0,return,cpuMs,98.69744026660919,103.56364822387695,125.15570068359375,126.41259765625
dem-canyon,S0,return,viewMs,15.83516875,16.07135,18.496,18.5761
dem-canyon,S0,return,receiverMs,70.561121875,73.51425,95.6956,95.807
dem-canyon,S0,return,donorMs,11.18391875,11.0443,12.7589,13.6243
dem-canyon,S0,return,reservationMs,0.549059375,0.5197,0.7404999999999999,0.8218
dem-canyon,S0,return,sampleRepairMs,0.02391875,0.0,0.0,0.7654
dem-canyon,S0,return,topologyPrepareMs,0.003171875,0.0,0.0,0.1015
dem-canyon,S0,return,topologyPublishMs,0.000578125,0.0,0.0,0.0185
dem-canyon,S0,return,meshPrepareMs,0.0009125,0.0,0.0,0.0292
dem-canyon,S0,static,cpuMs,1.9103875369182788,0.02065000031143427,0.04529999941587448,60.417301177978516
dem-canyon,S0,static,viewMs,0.568825,0.0,0.0,18.2024
dem-canyon,S0,static,receiverMs,0.953853125,0.0,0.0,30.5233
dem-canyon,S0,static,donorMs,0.322478125,0.0,0.0,10.3193
dem-canyon,S0,static,reservationMs,0.0236875,0.0,0.0,0.758
dem-canyon,S0,static,sampleRepairMs,0.0,0.0,0.0,0.0
dem-canyon,S0,static,topologyPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,S0,static,topologyPublishMs,0.0,0.0,0.0,0.0
dem-canyon,S0,static,meshPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,S2,moving,cpuMs,65.83017586017478,63.51940155029297,83.54149627685547,86.25050354003906
dem-canyon,S2,moving,viewMs,14.787575862068966,14.977,17.1457,17.6943
dem-canyon,S2,moving,receiverMs,35.259906896551726,33.8199,44.617999999999995,47.0309
dem-canyon,S2,moving,donorMs,12.358189655172414,11.9947,16.0797,18.8386
dem-canyon,S2,moving,reservationMs,0.7950758620689655,0.709,1.5351,1.5703
dem-canyon,S2,moving,sampleRepairMs,1.6435655172413792,1.3446,3.9559,6.098
dem-canyon,S2,moving,topologyPrepareMs,0.15837241379310346,0.1538,0.3617,0.4164
dem-canyon,S2,moving,topologyPublishMs,0.029058620689655174,0.0264,0.051199999999999996,0.0766
dem-canyon,S2,moving,meshPrepareMs,0.03205862068965517,0.031099999999999996,0.0524,0.062299999999999994
dem-canyon,S2,return,cpuMs,56.95150935649872,56.74169921875,61.05030059814453,61.26219940185547
dem-canyon,S2,return,viewMs,14.8638375,14.935400000000001,17.2848,17.3401
dem-canyon,S2,return,receiverMs,30.071159375,29.4422,34.4853,34.6756
dem-canyon,S2,return,donorMs,10.762284375,10.71385,12.3149,12.3998
dem-canyon,S2,return,reservationMs,0.59229375,0.5432,0.8907999999999999,0.9758
dem-canyon,S2,return,sampleRepairMs,0.023059375,0.0,0.0,0.7379
dem-canyon,S2,return,topologyPrepareMs,0.0030625,0.0,0.0,0.098
dem-canyon,S2,return,topologyPublishMs,0.000490625,0.0,0.0,0.0157
dem-canyon,S2,return,meshPrepareMs,0.00075,0.0,0.0,0.024
dem-canyon,S2,static,cpuMs,1.784265608410351,0.024650000035762787,0.07720000296831131,56.24679946899414
dem-canyon,S2,static,viewMs,0.51729375,0.0,0.0,16.5534
dem-canyon,S2,static,receiverMs,0.8778250000000001,0.0,0.0,28.090400000000002
dem-canyon,S2,static,donorMs,0.306134375,0.0,0.0,9.7963
dem-canyon,S2,static,reservationMs,0.02760625,0.0,0.0,0.8834
dem-canyon,S2,static,sampleRepairMs,0.0,0.0,0.0,0.0
dem-canyon,S2,static,topologyPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,S2,static,topologyPublishMs,0.0,0.0,0.0,0.0
dem-canyon,S2,static,meshPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,P0,moving,cpuMs,71.62020347858298,72.35769653320312,84.55120086669922,88.90190124511719
dem-canyon,P0,moving,viewMs,15.058420689655172,14.9886,16.790200000000002,19.867900000000002
dem-canyon,P0,moving,receiverMs,40.00214827586207,39.1249,47.9626,47.9852
dem-canyon,P0,moving,donorMs,13.672706896551723,13.1586,19.8415,23.9859
dem-canyon,P0,moving,reservationMs,0.3797793103448276,0.3264,0.8893,1.0719
dem-canyon,P0,moving,sampleRepairMs,1.7651620689655172,1.3258,4.5377,5.8486
dem-canyon,P0,moving,topologyPrepareMs,0.15576896551724137,0.1341,0.3861,0.40709999999999996
dem-canyon,P0,moving,topologyPublishMs,0.028044827586206897,0.0268,0.06160000000000001,0.0808
dem-canyon,P0,moving,meshPrepareMs,0.03250344827586207,0.0286,0.053,0.183
dem-canyon,P0,return,cpuMs,58.82477790117264,60.78684997558594,68.17420196533203,75.5363998413086
dem-canyon,P0,return,viewMs,15.17840625,15.45945,16.7287,16.9772
dem-canyon,P0,return,receiverMs,34.56524375,36.5865,46.4441,47.648999999999994
dem-canyon,P0,return,donorMs,8.66521875,10.746950000000002,11.6197,11.802999999999999
dem-canyon,P0,return,reservationMs,0.112334375,0.0691,0.3879,0.5063
dem-canyon,P0,return,sampleRepairMs,0.0,0.0,0.0,0.0
dem-canyon,P0,return,topologyPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,P0,return,topologyPublishMs,0.0,0.0,0.0,0.0
dem-canyon,P0,return,meshPrepareMs,0.0,0.0,0.0,0.0
dem-canyon,P0,static,cpuMs,1.797496851417236,0.05770000070333481,10.839799880981445,44.77199935913086
dem-canyon,P0,static,viewMs,0.519040625,0.0,0.0,16.6093
dem-canyon,P0,static,receiverMs,0.69616875,0.0,10.6887,11.588700000000001
dem-canyon,P0,static,donorMs,0.43767187500000004,0.0,0.0,14.005500000000001
dem-canyon,P0,static,reservationMs,0.00268125,0.0,0.00019999999999999998,0.0856
dem-canyon,P0,static,sampleRepairMs,0.060725,0.0,0.0,1.9432
dem-canyon,P0,static,topologyPrepareMs,0.004609375000000001,0.0,0.0,0.14750000000000002
dem-canyon,P0,static,topologyPublishMs,0.00099375,0.0,0.0,0.0318
dem-canyon,P0,static,meshPrepareMs,0.0010125,0.0,0.0,0.0324
