frame,rootIndex,task,thread,startMs,endMs,durationMs,fitCalls,fitMs,pointwiseCalls,pointwiseMs
3,125,receiver_stage/4,9,22.837712,23.13022,0.292508,7,0.262378,0,0.0
3,131,receiver_stage/4,9,23.13027,23.357497,0.227227,7,0.200466,0,0.0
3,137,receiver_stage/4,9,23.412099,23.669856,0.257757,7,0.226437,0,0.0
3,143,receiver_stage/4,9,23.669926,23.925163,0.255237,7,0.227777,0,0.0
3,148,receiver_stage/4,9,23.925193,24.043317,0.118124,7,0.096551,0,0.0
3,155,receiver_stage/4,9,24.043347,24.171641,0.128294,7,0.105584,0,0.0
4,2,receiver_stage/1,2,11.884739,13.143885,1.259146,8,0.543015,1,0.553456
4,11,receiver_stage/1,2,13.144015,17.508582,4.364567,1,0.36314,1,3.986526
4,38,receiver_stage/1,2,17.508822,17.79268,0.283858,7,0.250095,0,0.0
4,41,receiver_stage/1,2,17.79272,19.712146,1.919426,7,1.664708,1,0.138394
4,73,receiver_stage/1,2,19.712376,19.966833,0.254457,7,0.229637,0,0.0
4,79,receiver_stage/1,2,19.966943,20.232681,0.265738,7,0.231698,0,0.0
4,83,receiver_stage/1,2,20.232731,20.370305,0.137574,7,0.106373,0,0.0
4,88,receiver_stage/1,2,20.370385,20.631782,0.261397,7,0.236316,0,0.0
4,93,receiver_stage/1,2,20.631813,20.857249,0.225436,7,0.203876,0,0.0
4,102,receiver_stage/1,2,20.857359,20.991253,0.133894,7,0.105694,0,0.0
4,108,receiver_stage/1,2,20.991463,21.115626,0.124163,7,0.103232,0,0.0
4,114,receiver_stage/1,2,21.115757,21.464637,0.34888,7,0.310439,0,0.0
4,121,receiver_stage/1,2,21.464697,21.691143,0.226446,7,0.200385,0,0.0
4,127,receiver_stage/1,2,21.691233,21.94249,0.251257,7,0.226897,0,0.0
4,133,receiver_stage/1,2,21.942601,22.189288,0.246687,7,0.223566,0,0.0
4,139,receiver_stage/1,2,22.189388,22.454615,0.265227,7,0.235904,0,0.0
4,144,receiver_stage/1,2,22.454735,22.569589,0.114854,7,0.089073,0,0.0
4,149,receiver_stage/1,2,22.569699,22.828206,0.258507,7,0.234426,0,0.0
4,156,receiver_stage/1,2,22.828306,22.95825,0.129944,7,0.103234,0,0.0
4,4,receiver_stage/4,3,11.919551,14.281194,2.361643,4,1.431359,1,0.465348
4,14,receiver_stage/4,3,14.281354,14.888802,0.607448,7,0.503234,0,0.0
4,18,receiver_stage/4,3,14.889002,15.073117,0.184115,7,0.119893,0,0.0
4,20,receiver_stage/4,3,15.073347,15.269913,0.196566,7,0.154515,0,0.0
4,22,receiver_stage/4,3,15.270123,15.456558,0.186435,7,0.08086,0,0.0
4,24,receiver_stage/4,3,15.456658,19.106264,3.649606,2,0.283549,1,3.351217
4,61,receiver_stage/4,3,19.106314,19.479465,0.373151,7,0.337481,0,0.0
4,69,receiver_stage/4,3,19.479545,20.35554,0.875995,7,0.454302,1,0.36361
