frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
11,donor_stage,34.405412,5.826979,34.07883,5.706486,8,8,5.663844,0.086282,0.7464933323239556
12,view_projection,36.415701,3.346523,22.176868,2.974031,8,8,3.149476,0.079553,0.9321047763120155
12,view_scores,36.415701,5.449228,37.432043,5.340669,8,8,5.285193,0.064913,0.8761084753614201
12,receiver_stage,36.415701,16.548884,116.83351,16.299037,8,8,16.340759,0.087107,0.8960154363720999
12,donor_stage,36.415701,5.986473,31.769064,5.769837,8,8,5.83987,0.052456,0.6882573979126274
12,face_fill,36.415701,0.122983,0.00159,0.00102,8,1,0.00012,0.087843,0.1948529411764706
12,mesh_fill,36.415701,0.147275,0.00916,0.00443,8,1,0.00023,0.092544,0.2584650112866817
13,view_projection,33.158102,3.61332,24.276295,3.527787,8,8,3.464976,0.039877,0.8601814324390901
13,view_scores,33.158102,3.94313,27.56613,3.832051,8,8,3.778064,0.060233,0.8991963442031435
13,receiver_stage,33.158102,16.252666,115.579091,15.977697,8,8,16.061451,0.086303,0.9042220774996548
