frame,rootIndex,task,thread,startMs,endMs,durationMs,fitCalls,fitMs,pointwiseCalls,pointwiseMs
4,93,receiver_stage/5,2,14.118655,14.3005,0.181845,7,0.059581,0,0.0
4,96,receiver_stage/5,2,14.30054,14.770674,0.470134,7,0.424172,0,0.0
4,106,receiver_stage/5,2,14.770764,14.867487,0.096723,7,0.06503,0,0.0
4,110,receiver_stage/5,2,14.867567,15.29944,0.431873,7,0.389631,0,0.0
4,121,receiver_stage/5,2,15.2995,15.548747,0.249247,7,0.209376,0,0.0
4,125,receiver_stage/5,2,15.548837,15.707172,0.158335,7,0.063592,0,0.0
4,129,receiver_stage/5,2,15.707242,16.014541,0.307299,7,0.257229,0,0.0
4,136,receiver_stage/5,2,16.014631,16.101003,0.086372,7,0.048989,0,0.0
4,139,receiver_stage/5,2,16.101063,16.33441,0.233347,7,0.127733,0,0.0
4,145,receiver_stage/5,2,16.334521,16.499715,0.165194,7,0.117903,0,0.0
4,152,receiver_stage/5,2,16.499946,17.473269,0.973323,7,0.313669,1,0.582372
4,1,receiver_stage/1,3,7.473762,12.913644,5.439882,2,0.69434,1,4.70903
4,67,receiver_stage/1,3,12.913684,13.450875,0.537191,7,0.376135,0,0.0
4,77,receiver_stage/1,3,13.450965,13.783295,0.33233,7,0.292159,0,0.0
4,90,receiver_stage/1,3,13.783485,14.63727,0.853785,7,0.65712,1,0.127373
4,102,receiver_stage/1,3,14.63738,14.713012,0.075632,7,0.04123,0,0.0
4,103,receiver_stage/1,3,14.713042,14.821726,0.108684,7,0.068181,0,0.0
4,108,receiver_stage/1,3,14.821816,15.157546,0.33573,7,0.29931,0,0.0
4,116,receiver_stage/1,3,15.157606,15.603639,0.446033,7,0.399491,0,0.0
4,127,receiver_stage/1,3,15.603729,15.871787,0.268058,7,0.192135,0,0.0
4,133,receiver_stage/1,3,15.871887,16.284719,0.412832,7,0.34786,0,0.0
4,144,receiver_stage/1,3,16.284799,16.440104,0.155305,7,0.114334,0,0.0
4,151,receiver_stage/1,3,16.440394,16.669881,0.229487,7,0.153295,0,0.0
4,155,receiver_stage/1,3,16.670141,17.141145,0.471004,7,0.418363,0,0.0
4,3,receiver_stage/3,4,7.504773,7.75096,0.246187,7,0.157474,0,0.0
4,11,receiver_stage/3,4,7.751,8.122851,0.371851,7,0.33634,0,0.0
4,15,receiver_stage/3,4,8.122971,9.682647,1.559676,7,1.02,1,0.426132
4,28,receiver_stage/3,4,9.682847,9.886633,0.203786,7,0.134522,0,0.0
4,31,receiver_stage/3,4,9.886903,15.273544,5.386641,1,0.426213,1,4.939157
4,120,receiver_stage/3,4,15.273594,15.749428,0.475834,7,0.420102,0,0.0
4,132,receiver_stage/3,4,15.749498,16.084278,0.33478,7,0.286499,0,0.0
