configuration,case,run,terrain,algorithm,budget,area,capacity,frame,status,valid,N,Emax,RMS,Hmax,Q,missing,ambiguous,witness,meshHash,poseHash,sampleHash,qualityPath
55536e548f374fabbb0779cc5a58589f6aeb498d9c3c9a040c3ce4bebbbb6895,dem-sierra-b50000-dod-t8,visual-dem-sierra-b50000-dod-t8,dem-sierra,dod,50000,,,95,ok,True,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]",5042857137947386889,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-dod-t8
14db56aebefdb78d60f0205aea3d327f0cb2a0f1f91a786cc8e289d90d9eef44,dem-sierra-b50000-transactional-t8,visual-dem-sierra-b50000-transactional-t8,dem-sierra,transactional,50000,,,2,ok,True,8874.0,1.5864080125804836,0.25733709924724885,0.37772312545254305,1574913,0,0,"[1559282, 0.916015625, 0.990234375]",7835053595807022698,9615969980420470247,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-transactional-t8
14db56aebefdb78d60f0205aea3d327f0cb2a0f1f91a786cc8e289d90d9eef44,dem-sierra-b50000-transactional-t8,visual-dem-sierra-b50000-transactional-t8,dem-sierra,transactional,50000,,,48,ok,True,8960.0,2.015011653542709,0.28828535022446283,0.37772312545254305,1574913,0,0,"[1561810, 0.73828125, 0.9921875]",17778426753060689521,2106862884007421062,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-transactional-t8
14db56aebefdb78d60f0205aea3d327f0cb2a0f1f91a786cc8e289d90d9eef44,dem-sierra-b50000-transactional-t8,visual-dem-sierra-b50000-transactional-t8,dem-sierra,transactional,50000,,,80,ok,True,8976.0,1.133568442602344,0.2549381436625902,0.37772312545254305,1574913,0,0,"[864998, 0.05859375, 0.55078125]",17184082594950031724,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-transactional-t8
14db56aebefdb78d60f0205aea3d327f0cb2a0f1f91a786cc8e289d90d9eef44,dem-sierra-b50000-transactional-t8,visual-dem-sierra-b50000-transactional-t8,dem-sierra,transactional,50000,,,95,ok,True,8976.0,1.133568442602344,0.2549381436625902,0.37772312545254305,1574913,0,0,"[864998, 0.05859375, 0.55078125]",17184082594950031724,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-transactional-t8
96a8e2ec0e7365f14a76b85c8bfaceaf052ad0f6fe2ef329a509109ab9051e02,dem-sierra-cbt-a16,visual-dem-sierra-cbt-a16,dem-sierra,cbt,,16,524288,2,ok,True,48.0,16.374504102298975,3.691854217601778,2.285104965989251,1574913,0,0,"[1250328, 0.41015625, 0.794921875]",18156418382763586949,9615969980420470247,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a16
96a8e2ec0e7365f14a76b85c8bfaceaf052ad0f6fe2ef329a509109ab9051e02,dem-sierra-cbt-a16,visual-dem-sierra-cbt-a16,dem-sierra,cbt,,16,524288,48,ok,True,22496.0,3.1898454143770962,0.21744800840625556,1.3275499406940323,1574913,0,0,"[1000806, 0.23828125, 0.63671875]",2158585504902421698,2106862884007421062,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a16
96a8e2ec0e7365f14a76b85c8bfaceaf052ad0f6fe2ef329a509109ab9051e02,dem-sierra-cbt-a16,visual-dem-sierra-cbt-a16,dem-sierra,cbt,,16,524288,80,ok,True,28643.0,1.7421504257063751,0.2010184505964323,0.5085025095958731,1574913,0,0,"[552026, 0.24609375, 0.3515625]",7893499308863617503,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a16
96a8e2ec0e7365f14a76b85c8bfaceaf052ad0f6fe2ef329a509109ab9051e02,dem-sierra-cbt-a16,visual-dem-sierra-cbt-a16,dem-sierra,cbt,,16,524288,95,ok,True,28643.0,1.7421504257063751,0.2010184505964323,0.5085025095958731,1574913,0,0,"[552026, 0.24609375, 0.3515625]",10241694275395019715,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a16
555420f41bf89282bb13269cac7dd71c31a82c7658a6a68cf507077f4828184e,dem-sierra-cbt-a4,visual-dem-sierra-cbt-a4,dem-sierra,cbt,,4,524288,2,ok,True,48.0,16.374504102298975,3.691854217601778,2.285104965989251,1574913,0,0,"[1250328, 0.41015625, 0.794921875]",18156418382763586949,9615969980420470247,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a4
555420f41bf89282bb13269cac7dd71c31a82c7658a6a68cf507077f4828184e,dem-sierra-cbt-a4,visual-dem-sierra-cbt-a4,dem-sierra,cbt,,4,524288,48,invalid-quality,False,76472.0,,,,1574913,0,38,"[1000806, 0.23828125, 0.63671875]",3952675780735444500,2106862884007421062,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a4
555420f41bf89282bb13269cac7dd71c31a82c7658a6a68cf507077f4828184e,dem-sierra-cbt-a4,visual-dem-sierra-cbt-a4,dem-sierra,cbt,,4,524288,80,invalid-quality,False,110369.0,,,,1574913,0,11,"[121390, 0.15625, 0.078125]",18104975806418739968,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-cbt-a4
