candidate,reference,frame,status,Dmax,candidateN,referenceN,witness
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a16,16,paired,0.18953943481859523,200000.0,34582.0,176841
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a16,23,paired,0.16603408222303,200000.0,45844.0,130929
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a4,2,paired,0.15998981527264908,200000.0,48.0,85461
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a4,15,paired,1.9719572047441427,200000.0,130269.0,1790801
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a4,16,paired,0.19105338920636475,200000.0,110004.0,176841
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a4,23,paired,0.18882232814244465,200000.0,140913.0,176841
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a8,2,paired,0.15998981527264908,200000.0,48.0,85461
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a8,15,paired,1.9698492909507688,200000.0,80193.0,1790800
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a8,16,paired,0.19078869186204828,200000.0,63132.0,176841
quality-peking547-b200000-transactional-t8,quality-peking547-cbt-a8,23,paired,0.18882232814244465,200000.0,85238.0,176841
quality-peking547-b50000-classic-t1,quality-peking547-b50000-dod-t8,2,paired,1.1122396406659796e-14,50000.0,49999.0,1119302
quality-peking547-b50000-classic-t1,quality-peking547-b50000-dod-t8,15,paired,0.0,50000.0,50000.0,0
quality-peking547-b50000-classic-t1,quality-peking547-b50000-dod-t8,16,paired,1.1122396406659796e-14,50000.0,49999.0,1119302
quality-peking547-b50000-classic-t1,quality-peking547-b50000-dod-t8,23,paired,0.004589645746928518,50000.0,49999.0,10549
quality-peking547-b50000-transactional-t8,quality-peking547-b50000-dod-t8,2,paired,2.4045695989904914e-13,49999.0,49999.0,1756818
quality-peking547-b50000-transactional-t8,quality-peking547-b50000-dod-t8,15,paired,1.977369318373242,49999.0,50000.0,1790800
quality-peking547-b50000-transactional-t8,quality-peking547-b50000-dod-t8,16,paired,0.10112523828974931,49999.0,49999.0,404342
quality-peking547-b50000-transactional-t8,quality-peking547-b50000-dod-t8,23,paired,0.10112523828974931,49999.0,49999.0,404342
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a16,2,paired,0.323098234043432,49999.0,48.0,140715
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a16,15,paired,1.903045576647985,49999.0,45112.0,1774405
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a16,16,paired,0.38981809591382915,49999.0,34582.0,72466
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a16,23,paired,0.32823386906888685,49999.0,45844.0,137437
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a4,2,paired,0.323098234043432,49999.0,48.0,140715
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a4,15,paired,1.9719572047441427,49999.0,130269.0,1790801
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a4,16,paired,0.38981809591382915,49999.0,110004.0,72466
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a4,23,paired,0.38981809591382915,49999.0,140913.0,72466
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a8,2,paired,0.323098234043432,49999.0,48.0,140715
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a8,15,paired,1.9698492909507688,49999.0,80193.0,1790800
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a8,16,paired,0.38981809591382915,49999.0,63132.0,72466
quality-peking547-b50000-transactional-t8,quality-peking547-cbt-a8,23,paired,0.38981809591382915,49999.0,85238.0,72466
