run,configuration,case,algorithm,cpuTimeMeaning,warmCpuMs,warmFrameMs,warmP95CpuMs,warmMaxCpuMs,gpuComputeMs,gpuDrawMs,initialCapturedN,finalCapturedN,minimumCapturedN,maximumCapturedN,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites
r2-dem-canyon-b50000-transactional-t8,9364a719514a9c3167efeec4e6b8f69658f16ccabff20318d29537bcabd32f54,dem-canyon-b50000-transactional-t8,transactional,complete CPU update,17.79657845856041,18.47815053763441,45.494598388671875,59.160499572753906,,,50000.0,50000.0,50000.0,50000.0,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0
r2-dem-canyon-cbt-a16,df6c1a9f9fe476af8eacda51533d239c6d077ec322f61d53be9ac16e4df1490a,dem-canyon-cbt-a16,cbt,host command recording,0.03901827952233694,0.7946956989247312,0.058400001376867294,0.10320000350475311,0.08235710040553586,0.01299446155982358,,,,,,,,,,,,,,,,,,
r2-dem-canyon-cbt-a4,bedc5b60257b3557824eb8c006bb525a59b7c28bdff7b58a83e28e689ff2a70e,dem-canyon-cbt-a4,cbt,host command recording,0.03986129034510864,0.3033268817204301,0.06040000170469284,0.16519999504089355,0.09113740740896581,0.02510839546672427,,,,,,,,,,,,,,,,,,
r2-dem-canyon-cbt-a8,6a0c74c5887b285e7660ec736dc40ff635574464f1d82044c9dd8d41c4c7dd70,dem-canyon-cbt-a8,cbt,host command recording,0.038098924703175024,0.6104784946236559,0.05460000038146973,0.07199999690055847,0.08272984595252918,0.018144351634923575,,,,,,,,,,,,,,,,,,
r2-dem-sierra-b50000-classic-t1,7f8329291874c939c1f910e56ccbe298a880c927c1cd9b7eb8d78cccf09d95f5,dem-sierra-b50000-classic-t1,classic,complete CPU update,6.791751619949136,7.911534408602151,11.196800231933594,12.230500221252441,,,8792.0,15919.0,2622.0,15919.0,,,,,,,,,,,,,,
r2-dem-sierra-b50000-dod-t8,55536e548f374fabbb0779cc5a58589f6aeb498d9c3c9a040c3ce4bebbbb6895,dem-sierra-b50000-dod-t8,dod,complete CPU update,2.267433334422368,3.276316129032258,4.110300064086914,5.200500011444092,,,8792.0,15919.0,2622.0,15919.0,,,,,,,,,,,,,,
r2-dem-sierra-b50000-transactional-t8,14db56aebefdb78d60f0205aea3d327f0cb2a0f1f91a786cc8e289d90d9eef44,dem-sierra-b50000-transactional-t8,transactional,complete CPU update,11.818026937464232,12.776739784946237,24.81719970703125,34.407501220703125,,,8798.0,8976.0,8798.0,8976.0,217269.0,15008.0,169.0,0.0,0.0,0.0,92.0,0.0,77.0,0.0,209971.0,102421927.0,27483.0,28014.0
r2-dem-sierra-cbt-a16,96a8e2ec0e7365f14a76b85c8bfaceaf052ad0f6fe2ef329a509109ab9051e02,dem-sierra-cbt-a16,cbt,host command recording,0.037570967689476986,0.8166752688172043,0.054499998688697815,0.15940000116825104,0.07280035288288043,0.01203094508785468,,,,,,,,,,,,,,,,,,
r2-dem-sierra-cbt-a4,555420f41bf89282bb13269cac7dd71c31a82c7658a6a68cf507077f4828184e,dem-sierra-cbt-a4,cbt,host command recording,0.03843440872526938,0.30273333333333335,0.08460000157356262,0.1348000019788742,0.08549099051199116,0.023475692305550144,,,,,,,,,,,,,,,,,,
r2-dem-sierra-cbt-a8,280b9cbc756da0c1ef5fe688d56511a3e83a8334dbdd357654ff4fea9561b79e,dem-sierra-cbt-a8,cbt,host command recording,0.036743010644630716,0.7609752688172043,0.05249999836087227,0.06080000102519989,0.0755463744012209,0.016285890058337988,,,,,,,,,,,,,,,,,,
