case,arm,frame,warmup,hash,faces,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,cpuMs,viewMs,receiverMs,donorMs,reservationMs,sampleRepairMs
dem-sierra-b50000-transactional-t8,A,0,1,5305138329485053124,8798,133,133,3,0,0,0,3,0,0,1482.1368408203125,0,2.8083999999999998,0,0.045599999999999995,1.9510000000000001
dem-sierra-b50000-transactional-t8,A,1,1,8759561262206501565,8832,159,159,32,0,0,0,17,0,15,52.11309814453125,11.0358,23.7773,0,0.25259999999999999,15.414400000000001
dem-sierra-b50000-transactional-t8,A,2,1,9394699739884347641,8898,197,160,62,0,0,0,33,0,29,70.083000183105469,11.865499999999999,24.4635,0,0.54469999999999996,28.790300000000002
dem-sierra-b50000-transactional-t8,A,3,0,17407058731087784549,8950,222,160,48,0,0,0,26,0,22,51.151298522949219,10.715400000000001,17.133099999999999,0,0.40810000000000002,20.795500000000001
dem-sierra-b50000-transactional-t8,A,4,0,6619242387089707745,9002,253,160,46,0,0,0,26,0,20,49.723098754882812,10.587299999999999,15.6981,0,0.3881,21.017800000000001
dem-sierra-b50000-transactional-t8,A,5,0,16274208349493795247,9062,310,160,48,0,0,0,30,0,18,56.356700897216797,12.295800000000002,14.827399999999999,0,0.5716,25.7912
dem-sierra-b50000-transactional-t8,A,6,0,2869462548360957776,9122,426,160,52,0,0,0,30,0,22,57.582901000976562,10.527699999999999,17.020500000000002,0,0.5374000000000001,27.2821
dem-sierra-b50000-transactional-t8,A,7,0,3477097270881706693,9178,566,160,52,0,0,0,28,0,24,54.794998168945312,11.3011,14.8163,0,0.45150000000000001,25.770299999999999
dem-sierra-b50000-transactional-t8,A,8,0,10298858620613349275,9242,751,160,52,0,0,0,32,0,20,59.129299163818359,10.305200000000001,17.816100000000002,0,0.51190000000000002,27.816600000000001
dem-sierra-b50000-transactional-t8,A,9,0,8698947865213822268,9296,980,160,39,0,0,0,27,0,12,58.881301879882812,12.393800000000001,17.182099999999998,0,0.44550000000000001,25.197700000000001
dem-sierra-b50000-transactional-t8,A,10,0,6053817842546667659,9364,1239,160,50,0,0,0,34,0,16,55.665199279785156,10.4063,15.0124,0,0.49830000000000002,27.225899999999999
dem-sierra-b50000-transactional-t8,A,11,0,8348553625305181483,9422,1508,160,48,0,0,0,29,0,19,58.8656005859375,10.7517,15.861500000000001,0,0.53459999999999996,29.227599999999999
dem-sierra-b50000-transactional-t8,A,12,0,17531335403152919565,9492,1810,160,58,0,0,0,35,0,23,74.367599487304688,11.6899,21.979900000000001,0,0.74750000000000005,35.631
dem-sierra-b50000-transactional-t8,A,13,0,9720464445473056092,9560,2122,160,52,0,0,0,34,0,18,60.623298645019531,11.369,17.237200000000001,0,0.63849999999999996,28.650400000000001
dem-sierra-b50000-transactional-t8,A,14,0,2438386667276742056,9632,2447,160,49,0,0,0,36,0,13,67.366897583007812,10.610899999999999,17.1707,0,0.80779999999999996,33.584200000000003
dem-sierra-b50000-transactional-t8,A,15,0,1113469081380844289,9696,2823,160,46,0,0,0,32,0,14,70.224296569824219,11.729800000000001,18.2532,0,0.54459999999999997,35.747300000000003
dem-sierra-b50000-transactional-t8,A,16,0,3506862981551241329,9752,3211,160,40,0,0,0,28,0,12,56.795600891113281,13.0966,14.837400000000001,0,0.41089999999999999,26.027999999999999
