case,frame,status,faces,Emax,RMS,Hmax,Q,missing,ambiguous,screenWitness
generated-ridge-b50000-transactional-t8,2,ok,5467.0,1.0641896547471814,0.1600259640441498,0.17697385410117583,1574913,0,0,"[626750, 0.5546875, 0.3984375]"
generated-ridge-b50000-transactional-t8,48,ok,5593.0,1.1639886185997521,0.163679141230028,0.17697385410117583,1574913,0,0,"[626750, 0.5546875, 0.3984375]"
generated-ridge-b50000-transactional-t8,80,ok,5655.0,1.1313194441342629,0.15951925388582444,0.17697385410117583,1574913,0,0,"[920366, 0.0703125, 0.5859375]"
generated-ridge-b50000-transactional-t8,95,ok,5747.0,1.0599563283465288,0.15914419192066903,0.17697385410117583,1574913,0,0,"[626750, 0.5546875, 0.3984375]"
dem-canyon-b50000-classic-t1,2,ok,50000.0,2.3156938104516644,0.29809040742632686,1.165875234581235,1574913,0,0,"[1325460, 0.8515625, 0.841796875]"
dem-canyon-b50000-classic-t1,48,ok,49999.0,1.839557369258571,0.24567629773537125,6.259914564360576,1574913,0,0,"[343060, 0.267578125, 0.21875]"
dem-canyon-b50000-classic-t1,80,ok,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]"
dem-canyon-b50000-classic-t1,95,ok,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]"
dem-canyon-b50000-dod-t8,2,ok,49996.0,2.3156938104516644,0.2981173392036623,1.165875234581235,1574913,0,0,"[1325460, 0.8515625, 0.841796875]"
dem-canyon-b50000-dod-t8,48,ok,49999.0,1.839557369258571,0.24567629773537125,6.259914564360576,1574913,0,0,"[343060, 0.267578125, 0.21875]"
dem-canyon-b50000-dod-t8,80,ok,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]"
dem-canyon-b50000-dod-t8,95,ok,50000.0,2.348192641609855,0.2990287537793469,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]"
dem-canyon-b50000-transactional-t8,2,ok,50000.0,4.63692509577418,0.30282059154741237,1.165875234581235,1574913,0,0,"[1501038, 0.96875, 0.953125]"
dem-canyon-b50000-transactional-t8,48,ok,50000.0,9.274476736648769,0.47920022881296753,1.165875234581235,1574913,0,0,"[1574412, 0.837890625, 1]"
dem-canyon-b50000-transactional-t8,80,ok,50000.0,2.348192641609855,0.2991600830810882,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]"
dem-canyon-b50000-transactional-t8,95,ok,50000.0,2.348192641609855,0.2991600830810882,1.165875234581235,1574913,0,0,"[1073620, 0.92578125, 0.681640625]"
dem-sierra-b50000-classic-t1,2,ok,8845.0,1.1726921856954238,0.2538092346788995,0.4707915077518159,1574913,0,0,"[864998, 0.05859375, 0.55078125]"
dem-sierra-b50000-classic-t1,48,ok,12085.0,1.0416797893895509,0.18835355900767617,1.754269891755163,1574913,0,0,"[1561810, 0.73828125, 0.9921875]"
dem-sierra-b50000-classic-t1,80,ok,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]"
dem-sierra-b50000-classic-t1,95,ok,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]"
dem-sierra-b50000-dod-t8,2,ok,8845.0,1.1726921856954238,0.2538092346788995,0.4707915077518159,1574913,0,0,"[864998, 0.05859375, 0.55078125]"
dem-sierra-b50000-dod-t8,48,ok,12085.0,1.0416797893895509,0.18835355900767617,1.754269891755163,1574913,0,0,"[1561810, 0.73828125, 0.9921875]"
dem-sierra-b50000-dod-t8,80,ok,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]"
dem-sierra-b50000-dod-t8,95,ok,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]"
dem-sierra-b50000-transactional-t8,2,ok,8874.0,1.5864080125804836,0.25733709924724885,0.37772312545254305,1574913,0,0,"[1559282, 0.916015625, 0.990234375]"
dem-sierra-b50000-transactional-t8,48,ok,8960.0,2.015011653542709,0.28828535022446283,0.37772312545254305,1574913,0,0,"[1561810, 0.73828125, 0.9921875]"
dem-sierra-b50000-transactional-t8,80,ok,8976.0,1.133568442602344,0.2549381436625902,0.37772312545254305,1574913,0,0,"[864998, 0.05859375, 0.55078125]"
dem-sierra-b50000-transactional-t8,95,ok,8976.0,1.133568442602344,0.2549381436625902,0.37772312545254305,1574913,0,0,"[864998, 0.05859375, 0.55078125]"
