scene,frame,event,warmup,cpuMs,receiverMs,donorMs,viewMs,exchanges,free,examined,receiver_stage,task_wall_sum_receiver_certification,task_wall_sum_pointwise_quality,task_wall_sum_proposal,pointwise_batch,fit_bound_failed,shape_infeasible,quality_samples,quality_exact_samples
dem-sierra,83,recovery,0,21.870700836181641,21.099499999999999,0,0,0,0,160,0.0225659,0.08759200000000002,0.0060382000000000005,0.017124599999999997,0,605,496,224,16
dem-sierra,84,recovery,0,17.679399490356445,17.488199999999999,0,0,0,0,160,0.019774,0.08331140000000002,0.0047271,0.015989599999999996,0,605,496,224,16
dem-sierra,85,recovery,0,19.40519905090332,19.266300000000001,0,0,0,0,160,0.0200422,0.08509069999999999,0.0053891,0.015611999999999996,0,605,496,224,16
dem-sierra,86,recovery,0,18.712200164794922,18.549199999999999,0,0,0,0,160,0.0206557,0.0846925,0.0055173,0.016093399999999994,0,605,496,224,16
dem-sierra,87,recovery,0,32.982799530029297,32.773900000000005,0,0,0,0,160,0.0205262,0.08048939999999999,0.0049667,0.015348499999999998,0,605,496,224,16
dem-sierra,88,recovery,0,20.892400741577148,20.7423,0,0,0,0,160,0.0205857,0.0832049,0.0046438,0.0156519,0,605,496,224,16
dem-sierra,89,recovery,0,20.093799591064453,19.938000000000002,0,0,0,0,160,0.0209877,0.08622129999999999,0.005634800000000001,0.016621499999999997,0,605,496,224,16
dem-sierra,90,recovery,0,20.596599578857422,20.415599999999998,0,0,0,0,160,0.0189825,0.08075290000000002,0.005169900000000001,0.015570199999999998,0,605,496,224,16
dem-sierra,91,recovery,0,57.179698944091797,56.9206,0,0,0,0,160,0.0177239,0.07366160000000001,0.0048592999999999996,0.014274399999999998,0,605,496,224,16
dem-sierra,92,recovery,0,31.581399917602539,30.762699999999999,0,0,0,0,160,0.0216453,0.08488219999999999,0.0052952,0.016237599999999998,0,605,496,224,16
dem-sierra,93,recovery,0,19.226999282836914,18.788900000000002,0,0,0,0,160,0.0186924,0.07707509999999998,0.004776000000000001,0.014587999999999993,0,605,496,224,16
dem-sierra,94,recovery,0,18.000499725341797,17.835100000000001,0,0,0,0,160,0.018991,0.0743491,0.0046506,0.0144648,0,605,496,224,16
dem-sierra,95,recovery,0,19.968799591064453,19.807399999999998,0,0,0,0,160,0.0204968,0.0889676,0.005596800000000001,0.0164538,0,605,496,224,16
dem-canyon,0,reveal,1,5438.70458984375,46.241699999999994,43.238300000000002,0,35,0,160,0.051864,0.0322147,0.5468682000000001,0.003475500000000001,0.001732,53,8,12778,396
dem-canyon,1,reveal,1,111.53549957275391,41.318300000000001,31.790800000000001,21.363500000000002,12,0,160,0.0311106,0.06842870000000001,0.1446264,0.006651599999999998,0.0004757,792,168,4374,177
dem-canyon,2,reveal,1,118.65280151367188,66.461999999999989,27.210999999999999,21.264199999999999,1,0,160,0.0547166,0.08498599999999999,0.11082209999999999,0.008112399999999999,0.0003136,911,189,4883,418
dem-canyon,3,reveal,0,183.81500244140625,116.90589999999999,39.510999999999996,18.370999999999999,6,0,160,0.1175106,0.0916473,0.23001329999999998,0.009269799999999996,0.0007243,781,226,12671,1266
dem-canyon,4,reveal,0,125.49030303955078,77.336799999999997,24.739799999999999,19.083200000000001,2,1,160,0.0926054,0.11540879999999998,0.19613189999999997,0.010886899999999998,0.0004805,736,313,7057,775
dem-canyon,5,reveal,0,211.04249572753906,162.0462,20.263300000000001,20.905199999999997,4,0,160,0.1760636,0.13313200000000003,0.24170029999999995,0.013001099999999998,0.0008342,686,345,14738,928
dem-canyon,6,reveal,0,188.92489624023438,127.0522,34.376600000000003,18.848299999999998,3,0,160,0.1564711,0.16895179999999999,0.29262600000000005,0.014318799999999998,0.0005497,650,386,12491,1336
dem-canyon,7,reveal,0,157.17059326171875,106.45830000000001,24.258399999999998,18.719800000000003,3,0,160,0.125947,0.1826447,0.23756219999999997,0.015291399999999998,0.0003602,618,407,10383,1332
dem-canyon,8,reveal,0,145.04539489746094,104.5659,18.0396,18.3446,2,0,160,0.100236,0.2119772,0.1787845,0.0171488,0.0001164,613,413,5232,1025
dem-canyon,9,reveal,0,148.17649841308594,110.35300000000001,17.572900000000001,18.5398,1,0,160,0.1035475,0.22165300000000002,0.1724692,0.017830799999999994,4.92e-05,517,473,4527,952
dem-canyon,10,reveal,0,136.27609252929688,97.742099999999994,17.993300000000001,17.870699999999999,1,0,160,0.0983155,0.186714,0.16702109999999998,0.017395,4.84e-05,502,487,4577,817
dem-canyon,11,reveal,0,146.38699340820312,112.98869999999999,14.0695,18.5532,0,0,160,0.1040557,0.1740916,0.155249,0.018011599999999996,0,495,475,4028,686
dem-canyon,12,reveal,0,135.42149353027344,99.052300000000002,14.083699999999999,18.9834,2,0,160,0.0985294,0.17032899999999995,0.17413469999999998,0.017474399999999994,6.17e-05,471,435,4621,697
dem-canyon,13,reveal,0,131.12139892578125,96.886899999999997,15.328100000000001,18.297599999999999,0,0,160,0.1015831,0.1635251,0.1691203,0.016292099999999997,0,433,478,4331,693
dem-canyon,14,reveal,0,143.06739807128906,104.83030000000001,17.309999999999999,16.3078,3,0,160,0.0987336,0.1617517,0.1778027,0.016756700000000003,0.0001924,407,470,4927,714
dem-canyon,15,reveal,0,137.55889892578125,99.771299999999997,16.179200000000002,19.186199999999999,1,0,160,0.0899593,0.16604209999999997,0.2063227,0.016503099999999993,2.24e-05,444,373,4904,709
dem-canyon,16,reveal,0,125.55400085449219,81.341499999999996,21.3398,18.160499999999999,3,0,160,0.0848455,0.15940349999999998,0.20458230000000008,0.016238899999999997,9.61e-05,451,368,5162,745
dem-canyon,17,reveal,0,115.91200256347656,84.085999999999999,11.866099999999999,19.143599999999999,0,0,160,0.084104,0.15982130000000003,0.1855023,0.015448700000000001,0,481,351,4640,729
dem-canyon,18,reveal,0,151.86700439453125,99.422300000000007,29.3886,17.176000000000002,5,0,160,0.0886314,0.16377880000000003,0.22790170000000004,0.015322099999999991,0.0003739,456,293,5282,693
dem-canyon,19,reveal,0,114.19090270996094,82.49430000000001,13.5976,16.058300000000003,1,0,160,0.0946111,0.15782680000000002,0.2042059,0.014901799999999995,2.45e-05,505,326,4375,671
dem-canyon,20,reveal,0,101.09339904785156,70.926900000000003,12.395200000000001,15.766700000000002,1,0,160,0.0963745,0.1749963,0.23499599999999998,0.015063999999999996,1.22e-05,499,264,5049,752
dem-canyon,21,reveal,0,110.345703125,70.367100000000008,19.030899999999999,18.192599999999999,1,0,160,0.0796694,0.1474456,0.25425130000000007,0.013623699999999996,3e-05,479,231,5424,780
dem-canyon,22,reveal,0,115.20110321044922,75.204800000000006,20.577000000000002,15.963200000000001,2,0,160,0.0717685,0.15805109999999997,0.2618005,0.015477999999999997,7.24e-05,486,191,5604,832
dem-canyon,23,reveal,0,96.158599853515625,63.413300000000007,12.333299999999999,18.033200000000001,2,0,160,0.065452,0.14259,0.2288225,0.013519599999999996,2.56e-05,525,190,5305,861
dem-canyon,24,reveal,0,92.839302062988281,59.4756,13.5311,16.125400000000003,2,0,160,0.0720408,0.12884179999999998,0.2354679,0.013203900000000001,5.41e-05,444,202,5550,721
dem-canyon,25,reveal,0,95.383003234863281,62.390099999999997,14.3058,16.026299999999999,2,0,160,0.0691926,0.13055079999999994,0.26176849999999996,0.013555200000000002,3.78e-05,428,193,5889,635
dem-canyon,26,reveal,0,100.81559753417969,66.709400000000002,14.7759,15.2934,2,0,160,0.0696642,0.12841260000000004,0.27301040000000004,0.011789399999999998,6.58e-05,428,160,6520,658
dem-canyon,27,reveal,0,103.84510040283203,61.487100000000005,18.2193,16.895299999999999,5,0,160,0.0679015,0.12334079999999999,0.2976385000000001,0.0116923,0.000158,419,126,6893,832
dem-canyon,28,reveal,0,100.95950317382812,66.555199999999999,14.325100000000001,17.120199999999997,2,0,160,0.0780886,0.1238925,0.30779369999999995,0.010940199999999997,8.38e-05,466,119,7634,842
dem-canyon,29,reveal,0,146.85760498046875,107.1537,19.462400000000002,16.444700000000001,2,0,160,0.1074424,0.13050959999999998,0.29894060000000006,0.011267099999999993,5.94e-05,516,113,7921,916
dem-canyon,30,reveal,0,134.30409240722656,95.850400000000008,18.183700000000002,15.603,2,0,160,0.1058337,0.12181109999999996,0.31026719999999997,0.010852999999999998,8.04e-05,487,111,8112,867
dem-canyon,31,reveal,0,121.27960205078125,91.991699999999994,11.207999999999998,15.525300000000001,0,0,160,0.0962679,0.10500960000000002,0.36562619999999996,0.009902700000000002,0,370,84,9547,1009
dem-canyon,32,return,0,98.014297485351562,67.164199999999994,11.735000000000001,17.6159,0,0,160,0.0709931,0.08995810000000001,0.3604165999999999,0.008866599999999995,0,332,79,9488,1055
dem-canyon,33,return,0,161.97689819335938,133.47619999999998,11.2117,15.7376,0,0,160,0.1368786,0.1355858,0.3206241,0.011109099999999998,0,517,98,8487,1247
dem-canyon,34,return,0,150.45930480957031,119.3439,12.789099999999999,16.955399999999997,0,0,160,0.1149009,0.13507960000000002,0.26666019999999996,0.011564300000000003,0,570,137,7056,839
dem-canyon,35,return,0,98.705101013183594,68.574300000000008,14.282100000000002,14.785,0,0,160,0.0748316,0.12829060000000003,0.2291821,0.011725900000000001,0,571,143,4939,693
dem-canyon,36,return,0,100.80539703369141,66.483999999999995,12.3713,20.9285,0,0,160,0.065929,0.121622,0.2150522,0.012095200000000002,0,581,151,4921,677
dem-canyon,37,return,0,94.007797241210938,65.268199999999993,12.0076,15.452499999999999,0,0,160,0.0633806,0.1311612,0.1900861,0.012454299999999996,0,650,183,5016,597
dem-canyon,38,return,0,90.024696350097656,60.883000000000003,12.214600000000001,15.975,0,0,160,0.0630296,0.13371550000000001,0.1719605,0.013622000000000002,0,605,217,4335,471
dem-canyon,39,return,0,89.733497619628906,60.729500000000002,11.2117,16.876300000000001,0,0,160,0.0682035,0.13785340000000001,0.1965473,0.013670699999999997,0,611,202,4594,707
