frame,thread,records,boundsBuilds,exactBuilds,boundsSides,exactSides,boundsHeights,exactHeights
21,3,12,12,12,35952,696,3268,124
22,3,6,6,6,12979,387,2402,108
22,3,6,6,3,137,16,22,0
22,3,6,5,5,687,71,194,22
22,3,12,12,12,7152,332,468,88
22,3,12,12,12,6914,320,468,84
22,3,12,12,12,13532,504,1668,88
22,3,12,12,12,10238,398,868,92
23,3,8,8,8,3227,171,244,96
23,3,6,6,6,310,40,62,6
23,3,12,12,12,7790,347,676,148
23,3,6,3,2,64,14,16,0
23,3,12,12,12,35952,696,3268,100
23,3,6,5,5,497,48,108,4
23,3,12,12,12,13628,488,1668,28
23,3,12,12,12,15691,465,1268,84
24,3,6,6,6,1327,87,242,6
24,3,6,5,5,522,52,114,16
24,3,6,3,3,258,31,76,10
24,3,6,6,6,671,61,142,6
24,3,12,12,12,18977,565,1700,120
24,3,6,6,5,278,41,38,16
24,3,6,6,5,399,53,88,4
24,3,12,12,12,19792,603,1700,96
24,3,6,6,6,842,82,166,12
24,3,6,6,6,1959,178,396,58
25,3,12,12,12,6840,316,468,84
25,3,6,6,6,310,40,62,6
25,3,12,12,12,11993,396,868,88
25,3,6,6,6,1959,178,396,58
25,3,6,5,5,367,51,84,2
25,3,12,12,12,15691,465,1268,64
25,3,12,12,12,31226,724,3268,80
26,3,6,5,5,497,48,108,4
26,3,6,5,5,367,51,84,2
26,3,6,3,2,64,14,16,0
26,3,6,3,3,32,11,10,2
26,3,12,12,12,35952,696,3268,188
26,3,12,12,12,11856,400,868,36
26,3,12,12,12,11856,400,868,40
27,3,6,5,5,497,48,108,4
27,3,6,6,6,479,67,106,10
27,3,12,12,12,6840,316,468,72
27,3,6,6,6,2812,148,522,4
27,3,12,12,12,20538,630,2500,92
27,3,12,12,12,35952,696,3268,104
27,3,12,12,12,16974,500,1300,24
28,3,8,8,8,2981,160,244,96
28,3,6,6,6,2812,148,522,4
28,3,12,12,12,13628,488,1668,116
28,3,12,12,12,49134,947,4900,56
29,3,6,6,5,214,35,34,4
29,3,6,6,5,404,36,60,6
29,3,12,12,12,23752,638,2500,64
29,3,12,12,12,11856,400,868,20
29,3,12,12,12,15730,516,1300,156
29,3,6,3,3,78,19,24,10
29,3,12,12,12,13628,488,1668,56
29,3,6,3,3,146,40,38,18
30,3,6,6,6,596,65,142,14
30,3,12,12,12,10354,438,900,60
30,3,12,12,12,7152,332,468,56
30,3,12,12,12,10238,398,868,40
30,3,12,12,12,35952,696,3268,40
30,3,12,12,12,42724,936,6404,144
31,3,12,12,12,18977,565,1700,140
31,3,12,12,12,10354,438,900,140
31,3,12,12,12,13628,488,1668,28
31,3,6,5,4,521,42,104,4
31,3,12,12,12,20096,610,2500,84
3,4,6,6,6,596,65,142,14
3,4,6,6,3,67,10,10,4
4,4,12,12,12,6087,303,468,104
4,4,6,3,2,64,14,16,0
4,4,6,3,3,36,11,10,0
5,4,6,6,5,129,25,22,18
5,4,6,5,5,302,41,64,24
5,4,4,3,3,72,16,22,8
5,4,6,6,6,596,65,142,14
5,4,6,6,6,396,54,88,10
5,4,6,3,2,64,14,16,0
5,4,6,3,3,88,25,24,4
5,4,12,12,12,7090,312,468,64
