frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
18,view_projection,33.751961,3.881741,24.868678,3.66183,8,8,3.740567,0.078522,0.8489156378095105
18,view_scores,33.751961,3.65137,21.898882,3.523026,8,8,3.489105,0.059652,0.7769912143708277
18,receiver_stage,33.751961,18.110239,123.741007,17.917248,8,8,17.925253,0.097578,0.8632813406947316
18,face_fill,33.751961,0.129283,0.001857,0.00116,8,1,0.00016,0.077637,0.20010775862068964
18,mesh_fill,33.751961,0.123423,0.00997,0.00406,8,1,0.00022,0.076297,0.3069581280788177
19,view_projection,30.284961,3.622963,24.367079,3.405342,8,8,3.455389,0.068182,0.8944431645925724
19,view_scores,30.284961,3.553852,22.801282,3.396203,8,8,3.392628,0.098947,0.8392196373420553
19,receiver_stage,30.284961,17.225995,107.084831,17.068036,8,8,17.028549,0.102903,0.784249803257973
19,face_fill,30.284961,0.151614,0.0025,0.0018,8,1,0.00027,0.095777,0.17361111111111113
19,mesh_fill,30.284961,0.129743,0.00493,0.00227,8,1,0.00013,0.085567,0.27147577092511016
20,view_projection,42.695315,3.803764,25.265545,3.66238,8,8,3.67663,0.045346,0.8623335440342073
20,view_scores,42.695315,2.337044,15.315261,2.218311,8,8,2.19956,0.048846,0.863002358551168
20,receiver_stage,42.695315,24.421806,173.149525,24.172249,8,8,24.251001,0.090352,0.8953941615031353
20,face_fill,42.695315,0.130373,0.00257,0.0017,8,1,0.00013,0.081902,0.1889705882352941
20,mesh_fill,42.695315,0.141794,0.021731,0.014061,8,2,0.00092,0.070347,0.19318505084986842
21,view_projection,42.009285,3.503231,24.616461,3.388823,8,8,3.351756,0.050132,0.9080018711511343
21,view_scores,42.009285,2.692858,16.463119,2.540679,8,8,2.516464,0.063043,0.8099763390022903
21,receiver_stage,42.009285,24.39233,163.747979,24.181799,8,8,24.211185,0.071607,0.8464422921967053
21,face_fill,42.009285,0.148974,0.0023,0.00112,8,1,0.00027,0.093473,0.2566964285714286
21,mesh_fill,42.009285,0.150335,0.01388,0.00529,8,2,0.00014,0.067893,0.32797731568998106
22,view_projection,47.767302,3.662275,24.252307,3.469935,8,8,3.51595,0.058742,0.8736585483589749
22,view_scores,47.767302,2.643167,16.986876,2.497308,8,8,2.480393,0.055387,0.8502593592780706
22,receiver_stage,47.767302,31.302309,171.064451,31.064081,8,8,31.052432,0.164611,0.6883530974246429
22,face_fill,47.767302,0.140834,0.0027,0.00151,8,1,0.00015,0.084358,0.22350993377483444
22,mesh_fill,47.767302,0.148224,0.0229,0.00882,8,2,0.00013,0.062447,0.324546485260771
23,view_projection,44.891775,3.548826,24.688854,3.438234,8,8,3.389902,0.054546,0.8975848502457947
23,view_scores,44.891775,2.398246,15.549031,2.250495,8,8,2.208951,0.059573,0.8636450536437539
23,receiver_stage,44.891775,25.900611,191.897545,25.784029,8,8,25.744308,0.061576,0.9303120596474663
23,face_fill,44.891775,0.128123,0.00186,0.00115,8,1,0.00046,0.081723,0.2021739130434783
23,mesh_fill,44.891775,0.125574,0.00972,0.00417,8,1,0.00012,0.076483,0.2913669064748201
24,view_projection,42.564861,3.108765,22.01384,2.888879,8,8,2.945231,0.060737,0.9525251836438977
24,view_scores,42.564861,3.683611,22.000045,3.490025,8,8,3.500686,0.126189,0.7879615833697466
24,receiver_stage,42.564861,24.361934,176.989578,24.151873,8,8,24.18228,0.105814,0.9160240802028067
24,face_fill,42.564861,0.130964,0.00212,0.00115,8,1,0.00014,0.076263,0.23043478260869565
24,mesh_fill,42.564861,0.124773,0.00776,0.00293,8,1,0.00024,0.074652,0.33105802047781574
25,view_projection,48.663232,2.985351,20.591783,2.807907,8,8,2.858478,0.042866,0.9166873671385839
25,view_scores,48.663232,2.122718,14.351143,2.007576,8,8,1.979093,0.045761,0.893561626060483
25,receiver_stage,48.663232,30.952015,184.717127,30.768264,8,8,30.775269,0.102034,0.7504369071651232
25,face_fill,48.663232,0.141564,0.00287,0.00166,8,1,0.00067,0.081673,0.21611445783132532
25,mesh_fill,48.663232,0.309564,0.01532,0.00487,8,2,0.181,0.121504,0.393223819301848
26,view_projection,37.288967,3.30303,23.438285,3.083174,8,8,3.166576,0.070427,0.9502498480462017
26,view_scores,37.288967,3.65397,23.286344,3.475725,8,8,3.488765,0.074077,0.8374635507699831
26,receiver_stage,37.288967,20.741425,154.1783,20.601982,8,8,20.571091,0.080707,0.9354579331250751
26,face_fill,37.288967,0.142934,0.0016,0.00089,8,1,0.00081,0.086677,0.22471910112359553
26,mesh_fill,37.288967,0.142924,0.00927,0.00417,8,1,0.00014,0.088878,0.2778776978417266
27,view_projection,56.751462,3.335176,21.336163,3.189501,8,8,3.197742,0.048642,0.8361873456067266
27,view_scores,56.751462,3.995529,23.872018,3.887766,8,8,3.845124,0.045652,0.767536484963344
27,receiver_stage,56.751462,35.943181,206.687225,35.722594,8,8,35.742445,0.114113,0.7232370394210454
27,face_fill,56.751462,0.150544,0.0023,0.00132,8,1,0.00065,0.089397,0.2178030303030303
27,mesh_fill,56.751462,0.133923,0.01308,0.00517,8,2,0.00012,0.066477,0.316247582205029
28,view_projection,62.904596,3.219788,21.724881,3.080789,8,8,3.069593,0.068347,0.8814657949635628
28,view_scores,62.904596,3.440013,21.746688,3.267409,8,8,3.265519,0.077017,0.8319546160275619
28,receiver_stage,62.904596,40.424208,247.239668,40.083609,8,8,40.114759,0.231961,0.7710123731623068
28,face_fill,62.904596,0.199885,0.004799,0.0038,8,1,0.00012,0.078433,0.15786184210526316
28,mesh_fill,62.904596,0.127544,0.009369,0.00359,8,1,0.00021,0.075874,0.3262186629526463
29,view_projection,54.071965,3.984619,28.22379,3.802063,8,8,3.850545,0.056952,0.9279103870714399
29,view_scores,54.071965,2.817372,18.553745,2.704063,8,8,2.638717,0.062088,0.8576790278185086
29,receiver_stage,54.071965,28.167864,194.703517,27.952808,8,8,27.959688,0.116199,0.870679597734868
29,face_fill,54.071965,0.189195,0.00257,0.0016,8,1,0.00034,0.125814,0.20078124999999997
29,mesh_fill,54.071965,0.214286,0.027311,0.015061,8,2,0.00014,0.083807,0.22666987583825773
30,view_projection,50.465672,3.866115,25.479093,3.633769,8,8,3.715521,0.056397,0.8764692045641866
30,view_scores,50.465672,2.597346,17.614727,2.479678,8,8,2.440971,0.055776,0.8879543533474911
30,receiver_stage,50.465672,25.309171,179.376122,25.154546,8,8,25.119875,0.094568,0.8913703014158952
30,face_fill,50.465672,0.174335,0.00414,0.00235,8,1,0.00017,0.091758,0.22021276595744677
30,mesh_fill,50.465672,0.207056,0.02415,0.01083,8,2,0.00104,0.086268,0.2787396121883657
31,view_projection,37.205425,3.413158,22.331987,3.305001,8,8,3.252474,0.070462,0.8446286022303776
31,view_scores,37.205425,3.277074,21.132421,3.067594,8,8,3.093059,0.043026,0.8611154621504671
31,receiver_stage,37.205425,20.712845,156.393223,20.553251,8,8,20.51485,0.070267,0.9511465059712452
31,face_fill,37.205425,0.137203,0.00173,0.00109,8,1,0.00015,0.091657,0.19839449541284404
31,mesh_fill,37.205425,0.126193,0.01082,0.00343,8,2,0.00012,0.069752,0.3943148688046647
