frame,root,ordinal,kind,capture,path,oldReason,oldFitHeight,sampleCount,sourceHeight,unchangedBoundaryControl,status,domain0_accepted,domain0_visible,domain0_deltaLower,domain0_deltaUpper,domain0_oldMaxSquared,domain0_newMaxSquared,domain0_screenViolations,domain0_heightViolations,domain1_accepted,domain1_visible,domain1_deltaLower,domain1_deltaUpper,domain1_oldMaxSquared,domain1_newMaxSquared,domain1_screenViolations,domain1_heightViolations
95,-270,4,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--270-4.json,fit_bound_failed,5.4209221364413676,113,5.519304826893177,,accepted,True,113,726077330297205905513801307337107897325/340282366920938463463374607431768211456,726077330297205905513801307337107897335/340282366920938463463374607431768211456,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,113,181520077865004231213478866470365686133/85070591730234615865843651857942052864,363040155730008462426957732940731372271/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-270,5,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--270-5.json,fit_bound_failed,5.4209221364413676,365,5.519304826893177,,accepted,True,365,726077330297205905513801307337107897325/340282366920938463463374607431768211456,726077330297205905513801307337107897335/340282366920938463463374607431768211456,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,365,181520077865004231213478866470365686133/85070591730234615865843651857942052864,363040155730008462426957732940731372271/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-270,6,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--270-6.json,fit_bound_failed,5.4209221364413676,217,5.519304826893177,,accepted,True,217,726077330297205905513801307337107897325/340282366920938463463374607431768211456,726077330297205905513801307337107897335/340282366920938463463374607431768211456,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,217,181520077865004231213478866470365686133/85070591730234615865843651857942052864,363040155730008462426957732940731372271/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-271,0,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--271-0.json,fit_bound_failed,5.404943490230289,61,5.5101099488245335,,accepted,True,61,1995297968935811566054307011684559957527/340282366920938463463374607431768211456,124706123058488222878394188230284997347/21267647932558653966460912964485513216,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,61,249412365868308517809715517519656208185/42535295865117307932921825928971026432,1995298926946468142477724140157249665505/340282366920938463463374607431768211456,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-271,1,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--271-1.json,fit_bound_failed,5.473826194011417,65,5.560840310582564,,accepted,True,65,643982351697071632204388347802017871371/170141183460469231731687303715884105728,160995587924267908051097086950504467845/42535295865117307932921825928971026432,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,65,643982212085213696845525648480377260391/170141183460469231731687303715884105728,40248888255325856052845353030023578775/10633823966279326983230456482242756608,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-271,2,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--271-2.json,fit_bound_failed,5.4783241748809814,87,5.531353287810709,,accepted,True,87,441952082728584544915076948443937574935/340282366920938463463374607431768211456,220976041364292272457538474221968787473/170141183460469231731687303715884105728,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,87,220976627968125587650020304207536297707/170141183460469231731687303715884105728,441953255936251175300040608415072595425/340282366920938463463374607431768211456,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-271,3,F,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--271-3.json,fit_bound_failed,5.452364619707561,35,5.555661586153099,,accepted,True,35,807290249066587024243866321143354000709/340282366920938463463374607431768211456,50455640566661689015241645071459625045/21267647932558653966460912964485513216,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,35,807290704470656872583839261766657736129/340282366920938463463374607431768211456,201822676117664218145959815441664434035/85070591730234615865843651857942052864,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-271,4,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--271-4.json,fit_bound_failed,5.452364619707561,113,5.555661586153099,,accepted,True,113,807290249066587024243866321143354000709/340282366920938463463374607431768211456,50455640566661689015241645071459625045/21267647932558653966460912964485513216,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,113,807290704470656872583839261766657736129/340282366920938463463374607431768211456,201822676117664218145959815441664434035/85070591730234615865843651857942052864,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-271,5,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--271-5.json,fit_bound_failed,5.452364619707561,365,5.555661586153099,,accepted,True,365,807290249066587024243866321143354000709/340282366920938463463374607431768211456,50455640566661689015241645071459625045/21267647932558653966460912964485513216,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,365,807290704470656872583839261766657736129/340282366920938463463374607431768211456,201822676117664218145959815441664434035/85070591730234615865843651857942052864,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-271,6,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--271-6.json,fit_bound_failed,5.452364619707561,217,5.555661586153099,,accepted,True,217,807290249066587024243866321143354000709/340282366920938463463374607431768211456,50455640566661689015241645071459625045/21267647932558653966460912964485513216,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,217,807290704470656872583839261766657736129/340282366920938463463374607431768211456,201822676117664218145959815441664434035/85070591730234615865843651857942052864,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
