scene,event,metric,P0mean,PSmean,P0median,PSmedian,P0p95,PSp95,delta
dem-sierra,return,receiverMs,29.95045,103.889034375,24.60545,98.39345,56.20846499999999,136.651605,73.93858437499999
dem-sierra,return,viewMs,10.177278124999999,10.422196875,10.3078,10.42375,11.292765,11.6151,0.24491875000000007
dem-sierra,return,donorMs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,return,reservationMs,0.018746875,0.178278125,0.0103,0.09445,0.067445,0.5903749999999997,0.15953125
dem-sierra,return,sampleRepairMs,1.018528125,6.253375,0.83115,4.1007,2.8405699999999996,18.65921999999999,5.234846875000001
dem-sierra,return,uploadMs,1.8248875115896226,2.2399187609553337,2.1454999446868896,2.260200023651123,2.5443349957466124,2.6972150683403013,0.4150312493657111
dem-sierra,return,faces,9713.6875,11422.0,9728.0,11429.0,9752.0,11584.3,1708.3125
dem-sierra,return,receivers,2.28125,15.53125,1.0,10.5,7.449999999999999,40.04999999999998,13.25
dem-sierra,return,exchanges,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,return,free,1.65625,9.25,1.0,6.5,6.0,23.649999999999988,7.59375
dem-sierra,return,pairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,return,touches,54241.625,53606.40625,48088.5,50406.5,94657.44999999998,87581.74999999999,-635.21875
dem-sierra,return,evaluations,1575420.21875,1578122.71875,1575343.0,1577026.0,1576217.2,1584163.45,2702.5
dem-sierra,reveal,cpuMs,73.21913423209355,171.6093381684402,65.85449981689453,169.0738983154297,119.344319152832,214.28082275390622,98.39020393634664
dem-sierra,reveal,receiverMs,51.04355862068965,130.4602620689655,44.632999999999996,123.7982,87.65633999999997,169.67288,79.41670344827585
dem-sierra,reveal,viewMs,10.578596551724138,10.642175862068965,10.3763,10.416699999999999,12.117399999999998,12.825019999999999,0.06357931034482789
dem-sierra,reveal,donorMs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,reveal,reservationMs,0.18907931034482758,0.5931413793103448,0.1725,0.5442,0.39341999999999994,1.1543199999999993,0.4040620689655172
dem-sierra,reveal,sampleRepairMs,8.661924137931035,23.08013448275862,8.127600000000001,24.0868,15.6164,38.213739999999994,14.418210344827585
dem-sierra,reveal,uploadMs,2.182182764184886,2.231127562194035,2.085400104522705,2.140000104904175,2.472220039367676,2.6985800266265865,0.04894479800914908
dem-sierra,reveal,faces,9246.965517241379,10065.51724137931,9226.0,10022.0,9598.8,10888.0,818.5517241379312
dem-sierra,reveal,receivers,20.06896551724138,51.44827586206897,24.0,52.0,32.599999999999994,77.39999999999999,31.379310344827587
dem-sierra,reveal,exchanges,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,reveal,free,11.448275862068966,31.482758620689655,13.0,33.0,19.0,45.0,20.03448275862069
dem-sierra,reveal,pairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,reveal,touches,108213.20689655172,120364.62068965517,109154.0,127059.0,184082.59999999995,174721.0,12151.41379310345
dem-sierra,reveal,evaluations,1580080.2758620689,1588259.0689655172,1580049.0,1588680.0,1585179.4,1595750.0,8178.793103448348
dem-canyon,complete-warm,cpuMs,42.90800986527115,66.44611995424874,59.74079895019531,89.57530212402344,78.3869400024414,117.46836090087888,23.538110088977596
dem-canyon,complete-warm,receiverMs,24.280345161290324,47.44121505376344,32.9704,60.6178,46.951879999999996,87.82421999999998,23.16086989247312
dem-canyon,complete-warm,viewMs,9.93796129032258,9.727623655913979,13.5529,14.006400000000001,17.77013999999999,15.880959999999998,-0.2103376344086012
dem-canyon,complete-warm,donorMs,7.542468817204301,7.726064516129032,10.5708,10.3292,16.214919999999992,14.157319999999995,0.18359569892473093
dem-canyon,complete-warm,reservationMs,0.14508172043010753,0.4879279569892473,0.06559999999999999,0.5239,0.5656799999999991,1.12228,0.34284623655913976
dem-canyon,complete-warm,sampleRepairMs,0.5899032258064516,0.5373268817204301,0.0,0.0,3.0892799999999974,2.3273599999999965,-0.05257634408602152
dem-canyon,complete-warm,uploadMs,0.02481612862433277,0.01643440925443585,0.003000000026077032,0.003100000089034438,0.012060000188648685,0.010740000195801248,-0.008381719369896918
dem-canyon,complete-warm,faces,49999.397849462366,49999.98924731183,49999.0,50000.0,50000.0,50000.0,0.5913978494645562
dem-canyon,complete-warm,receivers,19.473118279569892,119.24731182795699,6.0,109.0,73.0,146.0,99.7741935483871
dem-canyon,complete-warm,exchanges,0.6666666666666666,0.6021505376344086,0.0,0.0,3.0,3.0,-0.06451612903225801
dem-canyon,complete-warm,free,0.021505376344086023,0.010752688172043012,0.0,0.0,0.0,0.0,-0.010752688172043012
dem-canyon,complete-warm,pairs,3096.7096774193546,11280.763440860215,742.0,15680.0,11607.199999999999,20287.999999999996,8184.053763440861
dem-canyon,complete-warm,touches,60328.15053763441,35517.279569892475,80581.0,50132.0,121671.19999999998,58758.19999999999,-24810.870967741932
dem-canyon,complete-warm,evaluations,1050118.9677419355,1050079.559139785,1574913.0,1574913.0,1575618.6,1575700.4,-39.408602150622755
dem-canyon,recovery,cpuMs,1.986593776382506,1.8837000422063284,0.11809999868273735,0.025899999774992466,5.414579846709959,0.05162499900907277,-0.10289373417617753
